state_code,county_code,county_name,state_name,geo_center
37,115,Madison,North Carolina,"35 51m 28.9289s N, 82 42m 20.7297s W"
41,51,Multnomah,Oregon,"45 32m 48.4472s N, 122 24m 53.7222s W"
54,5,Boone,West Virginia,"38 1m 22.7877s N, 81 42m 40.3655s W"
21,119,Knott,Kentucky,"37 21m 14.5886s N, 82 57m 14.8728s W"
27,63,Jackson,Minnesota,"43 40m 27.0239s N, 95 9m 14.8066s W"
18,89,Lake,Indiana,"41 28m 19.9637s N, 87 22m 34.9882s W"
15,3,Honolulu,Hawaii,"23 43m 7.10543s N, 164 44m 12.2652s W"
8,93,Park,Colorado,"39 7m 9.4903s N, 105 43m 1.82898s W"
48,435,Sutton,Texas,"30 29m 53.8549s N, 100 32m 17.475s W"
1,57,Fayette,Alabama,"33 43m 16.3421s N, 87 44m 19.9031s W"
72,97,Mayagüez,Puerto Rico,"18 10m 59.1647s N, 67 36m 18.2295s W"
72,123,Salinas,Puerto Rico,"17 58m 22.6344s N, 66 15m 43.1124s W"
46,15,Brule,South Dakota,"43 43m 5.01198s N, 99 4m 51.3674s W"
42,19,Butler,Pennsylvania,"40 54m 42.6552s N, 79 54m 47.7749s W"
29,201,Scott,Missouri,"37 3m 10.9657s N, 89 34m 6.65287s W"
17,103,Lee,Illinois,"41 44m 45.9796s N, 89 18m 1.1133s W"
48,91,Comal,Texas,"29 48m 29.4485s N, 98 16m 41.6839s W"
36,11,Cayuga,New York,"43 0m 37.1762s N, 76 34m 27.6896s W"
20,181,Sherman,Kansas,"39 21m 5.16127s N, 101 43m 11.9305s W"
39,169,Wayne,Ohio,"40 49m 43.857s N, 81 53m 16.8684s W"
6,53,Monterey,California,"36 14m 23.1878s N, 121 18m 32.0456s W"
18,65,Henry,Indiana,"39 55m 51.743s N, 85 23m 47.1673s W"
21,159,Martin,Kentucky,"37 48m 5.67795s N, 82 30m 47.8531s W"
21,189,Owsley,Kentucky,"37 25m 9.13801s N, 83 40m 59.2028s W"
49,27,Millard,Utah,"39 4m 23.8339s N, 113 6m 2.51608s W"
30,51,Liberty,Montana,"48 33m 42.3167s N, 111 1m 28.4885s W"
29,3,Andrew,Missouri,"39 59m 0.638814s N, 94 48m 7.41563s W"
54,77,Preston,West Virginia,"39 28m 9.46874s N, 79 40m 5.38315s W"
55,135,Waupaca,Wisconsin,"44 28m 13.6602s N, 88 57m 53.2541s W"
12,103,Pinellas,Florida,"27 54m 9.63433s N, 82 44m 22.3942s W"
37,189,Watauga,North Carolina,"36 13m 51.9826s N, 81 41m 47.1303s W"
54,31,Hardy,West Virginia,"39 0m 27.0105s N, 78 51m 28.5218s W"
47,111,Macon,Tennessee,"36 31m 55.3237s N, 86 0m 26.1725s W"
20,177,Shawnee,Kansas,"39 2m 29.4495s N, 95 45m 23.5233s W"
48,385,Real,Texas,"29 49m 54.2746s N, 99 49m 19.8009s W"
46,27,Clay,South Dakota,"42 54m 52.4567s N, 96 58m 32.2954s W"
54,1,Barbour,West Virginia,"39 7m 58.5619s N, 80 0m 10.904s W"
47,175,Van Buren,Tennessee,"35 41m 45.5333s N, 85 27m 9.41113s W"
19,7,Appanoose,Iowa,"40 44m 35.3885s N, 92 52m 6.9975s W"
22,97,St. Landry,Louisiana,"30 35m 55.8639s N, 92 0m 21.0847s W"
36,69,Ontario,New York,"42 51m 10.252s N, 77 17m 59.3558s W"
40,85,Love,Oklahoma,"33 56m 59.5s N, 97 14m 38.8429s W"
26,59,Hillsdale,Michigan,"41 53m 15.963s N, 84 35m 34.5401s W"
31,3,Antelope,Nebraska,"42 10m 36.8525s N, 98 4m 0.0671138s W"
18,131,Pulaski,Indiana,"41 2m 30.5956s N, 86 41m 55.6053s W"
37,49,Craven,North Carolina,"35 7m 3.66896s N, 77 4m 55.2138s W"
18,13,Brown,Indiana,"39 11m 46.3602s N, 86 13m 38.5493s W"
8,7,Archuleta,Colorado,"37 11m 36.994s N, 107 2m 53.838s W"
42,25,Carbon,Pennsylvania,"40 55m 5.4585s N, 75 42m 31.7578s W"
47,171,Unicoi,Tennessee,"36 6m 38.6303s N, 82 25m 56.4342s W"
45,83,Spartanburg,South Carolina,"34 55m 52.4877s N, 81 59m 26.9789s W"
41,33,Josephine,Oregon,"42 21m 55.7973s N, 123 33m 19.7916s W"
